sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana;prob_incumplir_SLA_temprano
0;70,672222;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Servicio;3;0,000000;No;;2025;8;3;18;0;0,695610
0;27,550000;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;5;0,000000;No;;2025;8;3;19;0;0,674368
0;24,833889;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;1;13,000000;No;;2025;8;4;4;0;0,429036
1;79,185833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;2;374,000000;No;;2025;8;4;7;0;0,476531
1;79,185833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3;;No;;2025;8;4;7;0;0,476531
0;28,658611;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1;7,000000;No;No;2025;8;4;10;0;0,231288
1;76,605000;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3;158,000000;No;;2025;8;4;10;0;0,483875
1;76,573611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3;376,000000;No;;2025;8;4;10;0;0,524454
1;292,322500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3;64,000000;No;;2025;8;4;10;0;0,524454
1;100,288889;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Escalación externa;Remoto;Conectividad - Acceso;3;64,000000;No;;2025;8;4;10;0;0,524454
